Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
117,NBA,2,57,PHO,Emir Preldžić\preldem01,21.298,F-G,ba,,,,2009,,,,,,,,,,,,,
118,NBA,2,58,BOS,Lester Hudson\hudsole01,24.328,G,us,University of Tennessee at Martin,2010,2015,2009,57,10.4,4.7,1.4,1.2,0.6,0.1,0.375,0.441,0.277,0.806,0.2,0.016
119,NBA,2,59,LAL,Chinemelu Elonu\elonuch01,22.112,C-F,ng,Texas A&M,,,2009,,,,,,,,,,,,,
120,NBA,2,60,MIA,Robert Dozier,,,,Memphis,,,2009,,,,,,,,,,,,,
121,NBA,2,31,NJN,Tibor Pleiß\pleisti01,20.239,C,de,,2016,2016,2010,12,6.8,2,1.3,0.2,0.1,0.2,0.44,0.478,0,1,-0.1,-0.041
122,NBA,2,32,MIA,Dexter Pittman\pittmde01,22.119,C,us,Texas,2011,2014,2010,50,6.9,2.3,1.8,0.2,0.2,0.2,0.45,0.45,,0.545,0.5,0.068
123,NBA,2,33,SAC,Hassan Whiteside\whiteha01,21.016,C,us,Marshall,2011,2021,2010,436,26,13.4,11.4,0.7,0.6,2.4,0.581,0.583,0.308,0.604,45.9,0.194
124,NBA,2,34,POR,Armon Johnson\johnsar02,21.126,G,us,Nevada,2011,2012,2010,47,8.5,3.3,1,1.2,0.2,0,0.458,0.465,0.4,0.679,-0.1,-0.015
125,NBA,2,35,WAS,Nemanja Bjelica\bjeline01,22.051,F,rs,,2016,2021,2010,366,21.5,8,4.7,1.8,0.7,0.4,0.466,0.538,0.387,0.77,16.5,0.101
126,NBA,2,36,DET,Terrico White,,,,Ole Miss,,,2010,,,,,,,,,,,,,
127,NBA,2,37,MIL,Darington Hobson\hobsoda01,22.274,G,us,New Mexico,2012,2012,2010,5,7.8,0.8,0.6,1.2,0,0,0.154,0.286,0,,-0.2,-0.225
128,NBA,2,38,NYK,Andy Rautins\rautian01,23.24,G,us,Syracuse,2011,2011,2010,5,4.8,1.6,0.2,0.6,0.2,0,0.429,0.667,0.25,0.5,-0.2,-0.314
129,NBA,2,39,NYK,Landry Fields\fieldla01,22.002,F,us,Stanford,2011,2015,2010,255,23.6,6.8,4.3,1.6,0.8,0.2,0.473,0.52,0.332,0.666,10.5,0.084
130,NBA,2,40,IND,Lance Stephenson\stephla01,19.297,G-F,us,Cincinnati,2011,2019,2010,508,23.4,8.6,4.2,2.9,0.7,0.1,0.444,0.494,0.315,0.685,16.7,0.068
131,NBA,2,41,MIA,Jarvis Varnado\varnaja01,22.12,F,us,Mississippi State,2013,2014,2010,37,10.7,2.9,1.9,0.4,0.3,0.8,0.582,0.582,,0.518,0.7,0.089
132,NBA,2,42,MIA,Da'Sean Butler,,,,West Virginia,,,2010,,,,,,,,,,,,,
133,NBA,2,43,LAL,Devin Ebanks\ebankde01,20.244,F,us,West Virginia,2011,2013,2010,63,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035
134,NBA,2,44,MIL,Jerome Jordan\jordaje01,23.274,C,jm,Tulsa,2012,2015,2010,65,7.6,2.8,2,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168
135,NBA,2,45,MIN,Paulo Prestes\prestpa01,22.135,C,br,,,,2010,,,,,,,,,,,,,
136,NBA,2,46,PHO,Gani Lawal\lawalga01,21.234,F,us,Georgia Tech,2011,2011,2010,1,2,0,0,0,0,0,,,,,0,-0.009
137,NBA,2,47,MIL,Tiny Gallon,,,,Oklahoma,,,2010,,,,,,,,,,,,,
138,NBA,2,48,MIA,Latavious Williams\willila01,21.092,F,us,,,,2010,,,,,,,,,,,,,
139,NBA,2,49,SAS,Ryan Richards\richary01,19.066,F-C,gb,,,,2010,,,,,,,,,,,,,
140,NBA,2,50,DAL,Solomon Alabi\alabiso01,22.1,C,ng,Florida State,2011,2012,2010,26,7,1.5,2.3,0.2,0.2,0.4,0.314,0.314,,0.7,0,0.01
141,NBA,2,51,OKC,Magnum Rolle,,,,Louisiana Tech,,,2010,,,,,,,,,,,,,
142,NBA,2,52,BOS,Luke Harangody\haranlu01,22.179,F,us,Notre Dame,2011,2012,2010,70,12.4,3.6,2.8,0.5,0.3,0.3,0.376,0.44,0.241,0.737,0.9,0.048
143,NBA,2,53,ATL,Pape Sy\sypa01,22.085,F,fr,,2011,2011,2010,3,7,2.3,1,0.7,0.3,0,0.333,0.4,0,1,0,-0.047
